Source File Name:	FFT_FRF_withPorousend_PeriodicChirp_0.1V_5avg
Signal:	FFT - Vib Geschwindigkeit - Amplitude

Frequenz	Amplitude
[ Hz ]	[ m/s ]
460	6.270668e-08
460.625	6.783847e-08
461.25	5.913701e-08
461.875	3.945017e-08
462.5	1.754798e-08
463.125	7.954023e-09
463.75	3.200535e-08
464.375	6.620643e-08
465	8.793549e-08
465.625	5.96742e-08
466.25	9.053716e-08
466.875	1.103004e-07
467.5	8.793002e-08
468.125	6.745473e-08
468.75	1.064916e-07
469.375	7.468651e-08
470	1.145515e-07
470.625	9.689639e-08
471.25	1.074405e-07
471.875	1.141622e-07
472.5	1.169427e-07
473.125	1.311213e-07
473.75	1.353478e-07
474.375	1.430226e-07
475	1.035214e-07
475.625	1.170385e-07
476.25	1.26231e-07
476.875	1.521435e-07
477.5	1.266121e-07
478.125	1.150787e-07
478.75	1.254881e-07
479.375	1.101874e-07
480	1.562792e-07
480.625	1.194037e-07
481.25	1.137254e-07
481.875	1.377519e-07
482.5	1.467879e-07
483.125	1.393772e-07
483.75	1.262665e-07
484.375	1.479859e-07
485	1.190444e-07
485.625	1.164664e-07
486.25	1.066984e-07
486.875	1.176749e-07
487.5	1.087646e-07
488.125	1.346366e-07
488.75	1.200586e-07
489.375	1.583647e-07
490	1.264593e-07
490.625	1.145976e-07
491.25	1.1992e-07
491.875	1.221508e-07
492.5	1.534241e-07
493.125	1.171142e-07
493.75	1.109121e-07
494.375	1.295714e-07
495	1.211646e-07
495.625	1.313003e-07
496.25	1.546943e-07
496.875	1.736534e-07
497.5	1.748108e-07
498.125	1.830913e-07
498.75	2.026348e-07
499.375	2.568716e-07
500	2.607632e-07
500.625	2.709369e-07
501.25	3.111037e-07
501.875	3.077792e-07
502.5	3.334876e-07
503.125	3.541125e-07
503.75	4.002848e-07
504.375	4.258328e-07
505	4.651182e-07
505.625	4.607245e-07
506.25	4.731306e-07
506.875	4.990565e-07
507.5	5.333496e-07
508.125	5.54163e-07
508.75	5.599958e-07
509.375	5.819997e-07
510	6.018908e-07
510.625	5.662607e-07
511.25	5.822154e-07
511.875	5.609967e-07
512.5	5.88785e-07
513.125	5.477968e-07
513.75	5.524087e-07
514.375	5.17594e-07
515	5.340121e-07
515.625	5.205166e-07
516.25	4.992029e-07
516.875	4.790641e-07
517.5	4.338777e-07
518.125	4.76009e-07
518.75	4.551304e-07
519.375	4.177563e-07
520	4.237959e-07
520.625	4.080614e-07
521.25	4.325955e-07
521.875	3.964175e-07
522.5	4.105389e-07
523.125	3.74201e-07
523.75	3.4894e-07
524.375	3.401064e-07
525	2.99958e-07
525.625	2.861532e-07
526.25	2.732196e-07
526.875	2.639673e-07
527.5	2.431567e-07
528.125	2.448357e-07
528.75	2.182418e-07
529.375	2.219266e-07
530	2.21367e-07
530.625	1.967978e-07
531.25	1.921398e-07
531.875	1.988162e-07
532.5	1.672415e-07
533.125	1.613936e-07
533.75	1.881985e-07
534.375	1.763139e-07
535	1.862188e-07
535.625	1.615785e-07
536.25	1.570237e-07
536.875	1.843349e-07
537.5	1.702132e-07
538.125	1.799115e-07
538.75	1.683785e-07
539.375	1.531409e-07
540	1.559859e-07
540.625	1.732509e-07
541.25	1.614691e-07
541.875	1.616195e-07
542.5	1.555337e-07
543.125	1.355933e-07
543.75	1.51155e-07
544.375	1.48508e-07
545	1.472736e-07
545.625	1.628131e-07
546.25	1.305507e-07
546.875	1.525062e-07
547.5	1.353385e-07
548.125	1.489404e-07
548.75	1.40857e-07
549.375	1.102638e-07
550	1.359412e-07
550.625	1.199229e-07
551.25	1.375346e-07
551.875	1.128673e-07
552.5	1.104991e-07
553.125	1.239346e-07
553.75	1.109559e-07
554.375	7.219349e-08
555	6.263437e-08
555.625	6.59219e-08
556.25	5.08969e-08
556.875	1.675005e-08
557.5	3.092545e-08
558.125	1.195119e-08
558.75	2.408673e-08
559.375	2.979836e-08
560	1.791702e-08
560.625	3.954225e-08
561.25	5.622777e-08
561.875	5.350101e-08
562.5	4.528852e-08
563.125	3.185717e-08
563.75	5.724975e-08
564.375	6.921448e-08
565	8.647982e-08
565.625	6.691273e-08
566.25	6.403675e-08
566.875	7.779623e-08
567.5	8.527649e-08
568.125	7.352745e-08
568.75	6.654487e-08
569.375	7.996906e-08
570	8.155268e-08
570.625	7.515087e-08
571.25	7.558896e-08
571.875	7.286992e-08
572.5	7.118901e-08
573.125	7.014253e-08
573.75	8.397246e-08
574.375	7.986738e-08
575	1.112826e-07
575.625	9.110703e-08
576.25	9.100268e-08
576.875	9.223132e-08
577.5	1.209712e-07
578.125	1.295424e-07
578.75	1.381716e-07
579.375	1.419807e-07
580	1.718619e-07
580.625	1.658877e-07
581.25	2.027998e-07
581.875	1.750664e-07
582.5	1.77861e-07
583.125	1.818228e-07
583.75	1.892927e-07
584.375	1.794317e-07
585	1.52484e-07
585.625	1.607642e-07
586.25	1.3614e-07
586.875	1.438079e-07
587.5	1.373856e-07
588.125	1.274387e-07
588.75	1.400765e-07
589.375	1.304619e-07
590	1.446084e-07
590.625	1.369334e-07
591.25	1.381013e-07
591.875	1.60388e-07
592.5	1.399579e-07
593.125	1.386279e-07
593.75	1.392056e-07
594.375	1.508312e-07
595	1.418774e-07
595.625	1.368693e-07
596.25	1.626883e-07
596.875	1.642447e-07
597.5	1.619175e-07
598.125	1.783418e-07
598.75	1.532497e-07
599.375	1.783181e-07
600	1.742443e-07
600.625	2.051868e-07
601.25	2.010028e-07
601.875	2.280331e-07
602.5	2.153018e-07
603.125	2.077828e-07
603.75	2.799987e-07
604.375	2.542316e-07
605	2.603582e-07
605.625	2.70113e-07
606.25	2.837553e-07
606.875	2.607934e-07
607.5	2.794577e-07
608.125	2.854912e-07
608.75	2.689825e-07
609.375	2.960747e-07
610	2.565461e-07
610.625	2.741547e-07
611.25	2.756196e-07
611.875	2.856987e-07
612.5	2.93008e-07
613.125	2.538575e-07
613.75	2.855013e-07
614.375	2.573076e-07
615	2.581004e-07
615.625	2.628253e-07
616.25	2.527934e-07
616.875	2.659519e-07
617.5	2.513377e-07
618.125	2.359874e-07
618.75	2.269882e-07
619.375	2.271919e-07
620	2.391e-07
620.625	2.186979e-07
621.25	2.207255e-07
621.875	2.053702e-07
622.5	2.035517e-07
623.125	2.077506e-07
623.75	2.274798e-07
624.375	2.150087e-07
625	2.110021e-07
625.625	2.016293e-07
626.25	2.203508e-07
626.875	2.044216e-07
627.5	2.25322e-07
628.125	2.397517e-07
628.75	2.35616e-07
629.375	2.433033e-07
630	1.987616e-07
630.625	1.689326e-07
631.25	2.208241e-07
631.875	2.25979e-07
632.5	2.128801e-07
633.125	1.722657e-07
633.75	1.473324e-07
634.375	1.662491e-07
635	1.346249e-07
635.625	1.39405e-07
636.25	1.514666e-07
636.875	1.398345e-07
637.5	1.489366e-07
638.125	1.220723e-07
638.75	1.192655e-07
639.375	1.111723e-07
640	9.450424e-08
640.625	9.494324e-08
641.25	1.076277e-07
641.875	8.848552e-08
642.5	8.729543e-08
643.125	7.02455e-08
643.75	5.788688e-08
644.375	6.382773e-08
645	6.860544e-08
645.625	6.821425e-08
646.25	7.332021e-08
646.875	1.014533e-07
647.5	1.190657e-07
648.125	1.25025e-07
648.75	1.281864e-07
649.375	1.35918e-07
650	1.495492e-07
650.625	1.547037e-07
651.25	1.491876e-07
651.875	1.590009e-07
652.5	1.679612e-07
653.125	1.695767e-07
653.75	1.758778e-07
654.375	1.651646e-07
655	1.754678e-07
655.625	1.721974e-07
656.25	1.722425e-07
656.875	1.773284e-07
657.5	1.724482e-07
658.125	1.767505e-07
658.75	1.610611e-07
659.375	1.766159e-07
660	1.792736e-07
660.625	1.723639e-07
661.25	1.698442e-07
661.875	1.654512e-07
662.5	1.847652e-07
663.125	1.711366e-07
663.75	1.734516e-07
664.375	1.692333e-07
665	1.571e-07
665.625	1.75012e-07
666.25	1.690751e-07
666.875	1.777364e-07
667.5	1.715305e-07
668.125	1.834074e-07
668.75	1.834922e-07
669.375	1.803542e-07
670	1.86278e-07
670.625	1.808496e-07
671.25	1.829106e-07
671.875	1.95259e-07
672.5	1.929225e-07
673.125	1.978639e-07
673.75	1.974537e-07
674.375	2.124827e-07
675	2.058056e-07
675.625	2.070094e-07
676.25	2.128644e-07
676.875	2.221132e-07
677.5	2.326489e-07
678.125	2.421098e-07
678.75	2.343345e-07
679.375	2.457769e-07
680	2.443639e-07
680.625	2.505837e-07
681.25	2.486066e-07
681.875	2.417482e-07
682.5	2.515945e-07
683.125	2.670055e-07
683.75	2.730822e-07
684.375	2.838624e-07
685	2.744184e-07
685.625	2.814967e-07
686.25	2.936698e-07
686.875	3.030914e-07
687.5	2.938121e-07
688.125	3.027905e-07
688.75	3.001379e-07
689.375	3.080994e-07
690	3.046659e-07
690.625	3.26931e-07
691.25	3.193517e-07
691.875	3.336729e-07
692.5	3.26482e-07
693.125	3.318757e-07
693.75	3.441668e-07
694.375	3.375567e-07
695	3.491208e-07
695.625	3.544687e-07
696.25	3.631232e-07
696.875	3.672008e-07
697.5	3.68665e-07
698.125	3.84955e-07
698.75	3.967809e-07
699.375	4.059697e-07
700	4.090379e-07
700.625	4.181277e-07
701.25	4.297434e-07
701.875	4.462063e-07
702.5	4.436912e-07
703.125	4.707971e-07
703.75	4.679068e-07
704.375	4.834266e-07
705	5.04827e-07
705.625	5.145472e-07
706.25	5.358785e-07
706.875	5.430418e-07
707.5	5.638376e-07
708.125	5.803284e-07
708.75	5.815497e-07
709.375	5.883599e-07
710	6.118924e-07
710.625	6.230939e-07
711.25	6.49472e-07
711.875	6.541437e-07
712.5	6.705906e-07
713.125	6.866615e-07
713.75	7.045096e-07
714.375	7.089333e-07
715	7.198269e-07
715.625	7.364922e-07
716.25	7.458552e-07
716.875	7.421628e-07
717.5	7.505007e-07
718.125	7.504983e-07
718.75	7.543228e-07
719.375	7.678471e-07
720	7.641227e-07
720.625	7.676929e-07
721.25	7.607543e-07
721.875	7.527403e-07
722.5	7.57345e-07
723.125	7.33063e-07
723.75	7.351312e-07
724.375	7.424895e-07
725	7.277346e-07
725.625	7.224065e-07
726.25	7.237287e-07
726.875	7.255773e-07
727.5	7.158416e-07
728.125	7.176547e-07
728.75	7.221752e-07
729.375	7.198637e-07
730	7.11246e-07
730.625	7.182513e-07
731.25	7.151135e-07
731.875	7.198889e-07
732.5	7.389796e-07
733.125	7.342647e-07
733.75	7.439193e-07
734.375	7.502332e-07
735	7.558892e-07
735.625	7.537967e-07
736.25	7.568057e-07
736.875	7.637394e-07
737.5	7.622832e-07
738.125	7.65264e-07
738.75	7.623406e-07
739.375	7.677364e-07
740	7.763944e-07
740.625	7.699151e-07
741.25	7.705191e-07
741.875	7.851045e-07
742.5	7.694539e-07
743.125	7.648179e-07
743.75	7.607649e-07
744.375	7.637993e-07
745	7.682814e-07
745.625	7.524571e-07
746.25	7.584864e-07
746.875	7.614867e-07
747.5	7.535908e-07
748.125	7.409646e-07
748.75	7.416209e-07
749.375	7.308627e-07
750	7.248457e-07
750.625	7.183572e-07
751.25	7.172258e-07
751.875	7.093805e-07
752.5	7.037058e-07
753.125	7.042648e-07
753.75	6.995729e-07
754.375	6.860049e-07
755	6.920715e-07
755.625	6.826367e-07
756.25	6.756088e-07
756.875	6.648563e-07
757.5	6.559261e-07
758.125	6.538319e-07
758.75	6.581421e-07
759.375	6.413422e-07
760	6.419268e-07
760.625	6.454689e-07
761.25	6.430625e-07
761.875	6.550657e-07
762.5	6.483045e-07
763.125	6.401733e-07
763.75	6.447844e-07
764.375	6.323456e-07
765	6.446366e-07
765.625	6.441569e-07
766.25	6.339568e-07
766.875	6.378998e-07
767.5	6.286074e-07
768.125	6.353635e-07
768.75	6.233696e-07
769.375	6.142847e-07
770	6.235147e-07
770.625	6.125349e-07
771.25	6.209497e-07
771.875	6.077372e-07
772.5	6.083332e-07
773.125	6.024342e-07
773.75	5.961091e-07
774.375	5.896063e-07
775	5.921583e-07
775.625	5.923107e-07
776.25	5.721212e-07
776.875	5.706405e-07
777.5	5.541841e-07
778.125	5.61397e-07
778.75	5.544279e-07
779.375	5.394119e-07
780	5.398039e-07
780.625	5.220384e-07
781.25	5.226333e-07
781.875	5.209798e-07
782.5	5.067535e-07
783.125	5.044724e-07
783.75	5.043602e-07
784.375	4.905937e-07
785	4.852049e-07
785.625	4.598153e-07
786.25	4.721419e-07
786.875	4.650743e-07
787.5	4.503112e-07
788.125	4.446648e-07
788.75	4.39066e-07
789.375	4.364925e-07
790	4.260573e-07
790.625	4.22181e-07
791.25	4.130867e-07
