% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 13 2025, 11:08
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(acpr2.p_t)
0.02281364386737661       -1.4949945369230284
0.02282273472615748       -1.4952120489440062
0.022844836808457503      -1.4957457504961076
0.02304371505826419       -1.5005235683670497
0.023208811530409434      -1.5045392640659423
0.023266995083307096      -1.505950642974324
0.02333708406229873       -1.5076718073097501
0.02349027510834989       -1.511420307328712
0.023617444878256122      -1.514570167884154
0.023713555133392683      -1.5169443761171084
0.023912767167549864      -1.521920867393438
0.02393588807044167       -1.522496964620676
0.023944117412074584      -1.5227039535108104
0.024158221007490654      -1.528078090031504
0.02424558452929748       -1.5302915719657262
0.024364643717758483      -1.5332988279564534
0.024541000376849365      -1.5377981082863232
0.024560767995289945      -1.5383008219735106
0.02457926291102508       -1.538775011015299
0.024789056075683158      -1.5441389121744555
0.024855658938381597      -1.545852075136748
0.025032772714587925      -1.550401718803693
0.02516670277095523       -1.5538569827758855
0.025282844827288153      -1.556851841030154
0.02547774660352886       -1.5618993086363464
0.02553291693998838       -1.5633273729937662
0.025624176729593717      -1.5656919734675452
0.025761664451438238      -1.5692481894357408
0.025871720061307224      -1.5720902175419997
0.025990411962887983      -1.5751467861640047
0.02613868863110247       -1.5789589778357562
0.026219159474337617      -1.5810242651323954
0.026283574446162916      -1.5826747637860583
0.026417167309743306      -1.5860938998626792
0.026501700712551868      -1.5882452930652629
0.026603893083150698      -1.5908453391034083
0.026707441910088447      -1.593466073043974
0.026816834888078955      -1.5962234119091923
0.026913183107625027      -1.598639084377509
0.027029776693007435      -1.6015503051324969
0.027118924305161607      -1.603764327065867
0.027242718497935803      -1.6068260187733228
0.027339431563974226      -1.60919580800493
0.027402451865116362      -1.6107382213160601
0.027485608205129797      -1.6127528283850818
0.027538966803593357      -1.6140484029851967
0.02757940478995924       -1.6150202247620373
0.02767548174207035       -1.6173315530728176
0.027802256885197663      -1.6203499334686584
0.027811996680547346      -1.6205823513823325
0.02782019719056228       -1.6207755061389855
0.02800881915511977       -1.6252160488881637
0.028086802450616677      -1.6270210407657997
0.02820564162969197       -1.629770255512664
0.028353407710671075      -1.6331301257493238
0.028404453358304105      -1.634291350704154
0.028462182740608744      -1.6355764237870531
0.02860925705354911       -1.6388665866171483
0.02870783357634088       -1.6410252638487548
0.02884498967884186       -1.644025631301088
0.029000346425495205      -1.647343304576042
0.029080722304134943      -1.6490579042796198
0.029292859274649863      -1.6534728762543003
0.029316454929427804      -1.653963405552743
0.029414416248845665      -1.6559489437267016
0.02954428360235184       -1.6585912441551205
0.029575020825301945      -1.6592054155063316
0.029792547929735957      -1.663499835645824
0.029823144710450777      -1.6640940810748743
0.030041807668435117      -1.668287626494608
0.0300712685955995        -1.6688431992681676
0.030291067407134387      -1.6729345890075833
0.03031939248074822       -1.6734527700862107
0.030540327145833657      -1.6774407231847492
0.030566934006888147      -1.6779130998268499
0.03083873913684898       -1.6826508239363833
0.030890404818196382      -1.6835339575219614
0.03114263079133517       -1.6877580870804407
0.031213875629504506      -1.688927218013108
0.03144652244582136       -1.6926645055903276
0.03153734644081263       -1.6940928813002896
0.03175041410030777       -1.6973700794660438
0.03182930443065346       -1.6985692942998147
0.031955146543394486      -1.7004123996053737
0.032115923183624884      -1.702787846978188
0.03229438877520918       -1.70530077671705
0.03241898148391553       -1.7070634490516365
0.0325312249529518        -1.7085735052039477
0.03272203978420629       -1.7111569116492382
0.03293384842564884       -1.713877537868047
0.03302509808449705       -1.7150557042298056
0.03310278261916366       -1.7160061901425334
0.033344822892599435      -1.7189874952401722
0.03364718054907856       -1.722512413119106
0.03366454770070182       -1.7227163086612098
0.03368926231353653       -1.722990171596752
0.0339842725088042        -1.7262771295421118
0.03419157847899368       -1.7284502266986903
0.03430269119283902       -1.7296237464026754
0.034461766630833335      -1.7311904623221048
0.034683174568103214      -1.7333892323998163
0.03483224605867097       -1.734769838827662
0.03504751271198481       -1.736758490007091
0.0353672367953205        -1.7394980775874318
0.03541185085586607       -1.7398851662627863
0.03544188900439782       -1.7401256786990333
0.03577618899974744       -1.7427945998277865
0.036024362367807594      -1.744619664711018
0.0361482980822142        -1.7455271602695022
0.03640829561455261       -1.7472703121191144
0.03652040716468086       -1.7480317674563124
0.03657384853750234       -1.748361721377475
0.036921214965034754      -1.750473982101108
0.03700876469327208       -1.7509594522213159
0.03732683561223715       -1.7526778413648096
0.03750743813512436       -1.7535497518919894
0.037703340052691714      -1.7544822568010385
0.03795275294799416       -1.7555171673212933
0.0380798444931465        -1.7560551723500764
0.03817966883210766       -1.7564167895210945
0.03845634893360117       -1.7574003342006135
0.03880860472590231       -1.7584374226626343
0.038834082887831856      -1.7585143752804135
0.038850083982217565      -1.7585514367531847
0.0392298081107878        -1.7594425256086597
0.03953163931106918       -1.7599357377970724
0.03962307091716222       -1.7600946892703784
0.03974779371501569       -1.7602226381502974
0.04001633372353686       -1.7605034541778743
0.04021319463992068       -1.7605690297126921
0.040409596529911274      -1.7606549582226472
0.04061623798681102       -1.7605917602418026
0.04085823597095817       -1.760515381719138
0.041262669270136776      -1.7600591029776742
0.04130687541200495       -1.760012794231759
0.04133332673844303       -1.7599635910594957
0.041755514853051734      -1.7591741320287988
0.042050415490075155      -1.7583830613952762
0.04220016273532379       -1.7579807553942293
0.042354044867197516      -1.757444401022434
0.042602071258698526      -1.7566045492342233
0.04287306430572513       -1.7554454974518747
0.04300700663483714       -1.7548871560854562
0.04312959735413191       -1.7542669162554716
0.043411942010975535      -1.7528826359207623
0.043720431113311586      -1.751095337010069
0.04381687738711415       -1.7505470220788948
0.043928071738580154      -1.7498026298500755
0.04430388787275885       -1.7473380383831254
0.04467746345016688       -1.7444322111795612
0.04479089835840322       -1.743559217359806
0.04490501360381094       -1.7425417160480419
0.04527790884404781       -1.7392677357749404
0.0456485809414251        -1.7355608887580645
0.04576055730481565       -1.7344606828913
0.0458733372177591        -1.7331940492409326
0.04627644204409531       -1.728743701455067
0.046698611213110475      -1.7234059487415807
0.04678837726299967       -1.7222933866876358
0.04687408965179363       -1.7210936294215617
0.04730031248190392       -1.7152599446495445
0.04774669299200185       -1.7084346098335166
0.047812247700808164      -1.7074486159010003
0.04787859189890764       -1.7063275130090918
0.04835918577560605       -1.6983461221216967
0.0488708099432017        -1.6889047065450782
0.04890612385040405       -1.6882612804509352
0.0489392959494539        -1.6875956275399553
0.049453061925202046      -1.6774355355627573
0.04999999999999993       -1.6656095419409125
0                         0.25154275670824033
3.104926207917469E-4      0.21163483865775862
5.721957384485776E-4      0.17758961189685019
6.209852415837158E-4      0.171279747609799
6.788706073799222E-4      0.1637032264398966
9.314778623756848E-4      0.13081645133142428
0.0011443914768973773     0.10276520891874137
0.0012397033317230743     0.09022679792753044
0.001398900397074243      0.06924060008102124
0.0015823002580578338     0.04507283275043372
0.0017365461451835928     0.02489593410885917
0.0019121346814074958     0.0018823113008270545
0.002120911159884775      -0.025279347641252274
0.0022419691047569357     -0.04109271282241184
0.0023437831955653854     -0.054293928753752115
0.0025718035281065976     -0.08391734550780247
0.002842948693114522      -0.11850836381108497
0.0028844728272650055     -0.12380168596060745
0.0029913195391630953     -0.137162791062112
0.0031971421264233024     -0.16300732383938377
0.0032771315296790116     -0.17285726111204297
0.003539441640248109      -0.20512560813326214
0.003651259221345793      -0.21862329124609597
0.0038919272648249015     -0.2475674963365472
0.0040612456815014575     -0.2674920164562341
0.004196791385315923      -0.2834259250310841
0.004440173605210207      -0.3113368994242659
0.004501655505806945      -0.3184253321760556
0.004535896328706213      -0.322274645222483
0.004806519626298078      -0.3526650298754466
0.005010546975910746      -0.37499042964503326
0.005085370015019963      -0.38321381496568174
0.005203370552677944      -0.39579254295490585
0.005429277037210745      -0.42004030983488794
0.00557188227063854       -0.43479791934737894
0.005762857966243207      -0.4547338740242895
0.006065389977083613      -0.48515054574700756
0.006096438895275669      -0.4883014731979877
0.006116038767477683      -0.4902150677722466
0.006430019824308131      -0.5211539047245706
0.006627669910681977      -0.5399607389589587
0.006699762335997228      -0.5469092273226566
0.0067982146239056185     -0.5560992460031845
0.006969504847686436      -0.572284061413971
0.0070949333971647155     -0.5837544416992525
0.00729556581530133       -0.6021147103018308
0.007466544142547438      -0.6174654274275312
0.007670575215399267      -0.6356044559372585
0.0077822498343610436     -0.6453926751988648
0.007949405114287433      -0.6599025178481032
0.00802989018217859       -0.6668262253848715
0.008228235013175378      -0.6837212114961164
0.008277530529996246      -0.6878817550581642
0.008480442100639918      -0.7047583127893444
0.008620840981557798      -0.716485898684555
0.008680760661883724      -0.7213977708557742
0.00896415143311935       -0.7445200451905354
0.009170589749318059      -0.7610423933780597
0.009284378590138753      -0.7701504099027879
0.00937248505506183       -0.7770321758471668
0.009569790213339147      -0.7926105785049484
0.009747505007917212      -0.806307696353334
0.009978644970604522      -0.824030230429179
0.01020362945299147       -0.8410330944026059
0.010387499727869787      -0.8548554269550435
0.010659753898065949      -0.8750222188054076
0.010796354485135162      -0.8850861680825421
0.011115878343140095      -0.9082750695617385
0.01123468745718681       -0.9168632416138963
0.01144568530538781       -0.9318961664054972
0.011589316129378968      -0.9421590808980171
0.011683091634171583      -0.9487627977201797
0.011998556349543166      -0.9709924094986768
0.01235952177333055       -0.9960554300806014
0.012407796569707252      -0.9994095170783814
0.012481736441285918      -1.0044704138092773
0.012817036789871561      -1.0274109804137304
0.013091491090926222      -1.046013226728136
0.013157691325100807      -1.0504990502883225
0.013497268288052866      -1.0733618940821075
0.013498345860330052      -1.0734344253042645
0.013503982606012044      -1.0738113873364763
0.013839000395559298      -1.0962173867507299
0.013903045485179621      -1.100472927550374
0.014215557422163738      -1.1212416958364146
0.014401703230917828      -1.1335536995825695
0.014520947339183521      -1.1414097498542255
0.014807211436274503      -1.1602948958640988
0.014826337256203193      -1.1615516807408728
0.014884676573204803      -1.1653904312374666
0.015148754940828346      -1.1827234004681655
0.015233554320387532      -1.1882791316393446
0.01547519361683003       -1.2040885100312846
0.015792819983102557      -1.2249257897244976
0.015836206812036124      -1.2277610930229228
0.01590259332011934       -1.2321180721175358
0.01618257730135797       -1.250424814924377
0.01636556052263094       -1.2624406010496267
0.016528947790679704      -1.2731253129377327
0.016778947858848703      -1.2895443420063617
0.01687531828000144       -1.2958499138578659
0.01696705537897014       -1.3018990712793892
0.01716169461567074       -1.3146718565576112
0.01726343892642923       -1.3214082343869369
0.017448070951339822      -1.333587750112025
0.01769951356231836       -1.3503218720893264
0.017737649618918994      -1.3528529735953556
0.018049760776545742      -1.3737006813019907
0.018050277723790642      -1.3737351498231996
0.018051093495513704      -1.3737899806823206
0.018339596172576966      -1.3931087951515928
0.01860380322798172       -1.4110136404137243
0.01862987541100658       -1.4127720972581537
0.018650879696064715      -1.4142067786808137
0.018930263503157962      -1.4332088109899503
0.01919326659244347       -1.4513225166023473
0.019230651595309456      -1.4538864716856477
0.01928510009505313       -1.457680521635361
0.019507506142928177      -1.4730778613433717
0.019627512164246408      -1.4815162887991207
0.019794530875830496      -1.4932251245383028
0.0199782525347173        -1.5062659630301116
0.020089336896200294      -1.5141447397425039
0.020328992905188192      -1.531352671319444
0.02038414291656987       -1.5353095300686843
0.020471391376313486      -1.5416668965639748
0.0206520288570321        -1.5547561934608165
