% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 13 2025, 11:08
% Dimension:          1
% Nodes:              1011
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(acpr.p_t)
0.020414541055161602      1.446114830492439
0.02049666576674593       1.4476041397841994
0.020746755653697716      1.4521333415475643
0.02088230751929697       1.45459747950147
0.021101655403389662      1.4585681495788911
0.02126794927184801       1.4615897797236372
0.021456555153081612      1.4650024184371122
0.021634233662323334      1.4682369284286363
0.021818790154573994      1.471584156302081
0.021981988876825592      1.4745815908943674
0.022177660804507525      1.4781422216548232
0.02237800400517046       1.4818264220989228
0.02253377287254983       1.484648163235351
0.02277401913351533       1.4890464541892714
0.022889884940592145      1.4911358512865267
0.023206436271123176      1.4969091409022797
0.0232785420657204        1.4981957775475518
0.02365390876622174       1.5049542310634703
0.023666128080980644      1.505169469741179
0.023689730921568113      1.505586144203393
0.02402346231811387       1.511489910760669
0.024196236818039382      1.5145530505084814
